Id,Type,Blindness,Day,Time,AbstractFileName,SlidesFileName,Title,Authors,abstract_url,Abstract
3EZXZV,talk,Blind,09-Tue,17h45,2026-06-09-RISC-V-Summit-Europe-17h45-MONTICELLI-abstract.pdf,2026-06-09-RISC-V-Summit-Europe-17h45-MONTICELLI-slides.pdf,Heuristic-free system call interception on RISC-V,"Ottavio Monticelli, Iacopo Colonnelli, and Marco Edoardo Santimaria",,"Many applications benefit from the ability to intercept, block, or modify system calls efficiently. Binary rewriting is one of the fastest techniques to achieve this, but it often relies on instruction-dependent heuristics that limit its applicability. To date, exhaustive rewriting techniques (introduced by zpoline) are only available for x86-64 ISA. This work introduces vpoline, the first fully heuristics-free system call interception library for RISC-V. By leveraging the RISC-V linker relaxation mechanism, vpoline achieves the same benefits as zpoline while overcoming the intrinsic limitation of requiring privileged access."
8LUM7U,talk,Non-blind,10-Wed,17h00,2026-06-10-RISC-V-Summit-Europe-17h00-MAUDERER-abstract.pdf,2026-06-10-RISC-V-Summit-Europe-17h00-MAUDERER-slides.pdf,RISC-V Custom Instructions for Automotive Control and DSP Algorithms Compliant with ISO 26262,Andreas Mauderer and Zdenek Prikryl,,"The stringent safety requirements of the automotive industry necessitate compliance with standards like ISO 26262. Processor cores, often pre-certified to ASIL-B or ASIL-D, face certification risks when modified. This work focuses on the development of custom instructions that are integrated through Codasip’s Bounded Customization (BC) without directly modifying the core’s verified RTL. The paper details a workflow for this process and presents performance results demonstrating the acceleration achieved for key automotive and DSP algorithms, including Field Oriented Control (FOC). All extensions were consolidated into a unified custom processor, termed as the Motor Control with DSP (MCXD) core, featuring a scheduling algorithm that coordinates FOC and filtering routines. Synthesis showed an area increase of ~31%, while runtime and instruction count measurements demonstrated performance improvement of up to ~21%. These results validate that domain-specific acceleration can be achieved within the boundaries of ISO 26262."
B7EASJ,talk,Non-blind,09-Tue,12h00,2026-06-09-RISC-V-Summit-Europe-12h00-XU-abstract.pdf,2026-06-09-RISC-V-Summit-Europe-12h00-XU-slides.pdf,RVA23 Profile Support in Linux Kernel: From Extension Definitions to Userspace Export,Guodong Xu and Charlie,,"RVA23, ratified by RISC-V International in October 2024, defines the mandatory extension baseline for application-class RISC-V. Eighteen months on, is the profile real inside the software stack? This talk answers from one vantage point — the Linux kernel — through a shipping part.

SpacemiT's K3 is the first mass-produced RVA23 SoC. Bringing it up in mainline (RISCstar with SpacemiT), we found the kernel's RVA23 mandatory coverage stuck near 68% for a year, with bindings missing several extensions. Over several revisions those gaps closed, and Linux v7.0 reached 100%.

From that experience, I examine how the community decides what ""supporting"" an extension means: a data-backed classification by whether an extension adds architectural state the OS must save and restore — showing roughly two-thirds are stateless and only need to be discoverable, not implemented. This explains the principles maintainers apply.

I then cover two complementary halves now in review for v7.1. 

1) Runtime detection: a unified series, carried forward from Andrew Jones' (Qualcomm) RFC, resolving rva23u64/rva23s64 base behaviour and exporting it via /proc/cpuinfo and hwprobe. 

2) Compile-time specialisation, presented by co-speaker Charlie Jenkins (Meta), builds the kernel for RVA23. I share review feedback — including Paul Walmsley's call for hardware measurements — answered with numbers from the K3.

Complete mainline RVA23 lets distributions ship generic images and reduce fragmentation; Ubuntu 26.04 has adopted it while Debian, Fedora and Red Hat wait."
BTUW3M,talk,Non-blind,09-Tue,12h30,2026-06-09-RISC-V-Summit-Europe-12h30-TAYLOR-abstract.pdf,2026-06-09-RISC-V-Summit-Europe-12h30-TAYLOR-slides.pdf,Building the software ecosystem for a RISC-V datacenter,Jon Taylor,,"The RISC-V software ecosystem has grown steadily over the last few years. For embedded software it is reasonably complete, with good compiler, RTOS, and IDE support. The Linux kernel is also well supported, with RISC-V long having upstream support, and RVA23 now supported too. Canonical moved to requiring RVA23 with the release of Ubuntu 25.10, ready for the next generation of RISC-V silicon. But building out a data center takes more than just a good desktop experience. This poster/paper will examine the other elements required including provisioning, hypervisors, containers, orchestration, and also discusses how to manage custom instructions, security, maintenance. Going beyond theory, it discusses the data center Canonical will be building to include RISC-V RVA23 silicon supporting the Launchpad.net community website as well as other uses."
D3TVFS,talk,Blind,11-Thu,16h45,2026-06-11-RISC-V-Summit-Europe-16h45-CECCOLINI-abstract.pdf,2026-06-11-RISC-V-Summit-Europe-16h45-CECCOLINI-slides.pdf,Accelerating Sparse Linear Solvers in OpenFOAM using RISC-V Vector Extensions,Gabriele Ceccolini,,"Computational Fluid Dynamics (CFD) relies heavily on the efficiency of linear solvers based on sparse linear algebra kernels. Widely used frameworks like OpenFOAM exploit parallelism primarily at the domain decomposi-tion level via MPI. Support for vector/SIMD architectures is limited to compiler auto-vectorization. Furthermore, support for such architectures is limited by OpenFOAM’s internal matrix data format, which is intrinsically ill-suited for the contiguous memory accesses required for efficient execution on vector processors. In this work, we focused on two very different RISC-V architectures: the prototype long-vector EPAC accelerator and the commercial short-vector CPU Sophon SG2044. On these platforms, we optimized the Sparse Matrix-Vector multiplication (SpMV) using RISC-V vector intrinsics and integrated it into a custom smoother, performing a runtime conversion of internal data into a vector-friendly format. Experimental results on the EPAC test chip show a 6× speedup for the smoother; benchmarks on Monte Cimone (MCv2) cluster with the Sophon SG2044 processor achieve a 1.5× smoother speedup, proving that legacy CFD codes can be effectively accelerated on both research and commercial emerging hardware."
ETWPMQ,talk,Blind,11-Thu,12h00,2026-06-11-RISC-V-Summit-Europe-12h00-TOMSICH-abstract.pdf,2026-06-11-RISC-V-Summit-Europe-12h00-TOMSICH-slides.pdf,"All The Scaling, No New State: One Matrix ISA with Microarchitectural Freedom",Dr. Philipp Tomsich and Dr. Erich Focht,,"RISC-V's Zvvm matrix extension stores all tile state in the standard V register file and derives tile geometry algebraically from VLEN, SEW, and a new aspect-ratio field λ. This yields arithmetic intensity that scales with VLEN: a binary compiled at VLEN=256 delivers higher throughput at VLEN=65536 with no recompilation. The same partial-VL mechanism that enables one-column-at-a-time embedded streaming also drives full HPC bulk tiling, while microscaling is integrated via vm-bit opcode aliasing with no new architectural state.

Tile dimensions are not programmer-specified constants — they are consequences of existing parameters. The tile is always square: M = N = VLEN/(SEW×λ), with inner dimension K\_eff = λ×W×LMUL. Arithmetic intensity (M/2) grows proportionally with VLEN, and the ratio of intensity to cache-to-VRF bandwidth remains constant — a provable algebraic identity with no equivalent in Arm SME or Intel AMX.

Zvvm's geometry knobs form an intent vocabulary expressed from both sides: software selects LMUL and VL to control K\_eff depth and streaming granularity; hardware determines λ and VLEN to shape the tile for its datapath. Setting VL = K\_eff with LMUL = 1 gives portable streaming; increasing LMUL or computing multiple C panels trades register pressure for compute intensity — all via the same opcode.

Microscaling (MX) support is integrated by aliasing the vm bit in FP multiply-accumulate opcodes, introducing no new encoding space, registers, or modes."
EXN7PD,talk,Blind,09-Tue,17h30,2026-06-09-RISC-V-Summit-Europe-17h30-LIU-abstract.pdf,2026-06-09-RISC-V-Summit-Europe-17h30-LIU-slides.pdf,Enabling Confidential Computing on RISC-V: An Open-Source MPT Implementation,Haoyuan Liu,,"Memory Protection Tables (MPT) is an emerging RISC-V extension under community discussion that enables fine-grained multi-supervisor domain physical memory isolation and access control for multi-tenant computing, addressing the security and isolation limitations of the traditional PMP mechanisms. This work presents the first open-source hardware implementation of the MPT draft specification (v0.4). Our design features a multi-level cache for accelerated permission checking and an L1TLB extension to reduce query frequency, with a decoupled architecture for portability. Evaluation shows only 2.32\% average SPEC06 performance overhead and a 0.244\% core area overhead, providing a hardware reference for SMMPT standardization."
FRDLL7,talk,Blind,11-Thu,12h45,2026-06-11-RISC-V-Summit-Europe-12h45-PANDEY-abstract.pdf,2026-06-11-RISC-V-Summit-Europe-12h45-PANDEY-slides.pdf,CHAKRA-GP: A Retargetable Compiler Framework for RISC-V GPGPU Architectures,Prachi Pandey and PRANOSE J EDAVOOR,,"The emergence of RISC-V as an open and extensible instruction set architecture has enabled the development of domain-specific accelerators and General-Purpose Graphics Processing Units (GPGPUs). While the RISC-V ISA provides support for scalar instructions and the RISC-V Vector Extension (RVV) enables data-parallel vector execution, these models do not directly support the Single-Instruction Multiple-Thread (SIMT) execution paradigm required by modern GPU architectures. Consequently, efficient software enablement for RISC-V–based GPUs requires compiler support capable of generating SIMT-oriented instruction sequences and managing massively parallel execution. This proposal talks about CHAKRA-GP, a hardware-optimized compiler framework for RISC-V–based GPGPU architectures. Built upon LLVM and MLIR infrastructures, CHAKRA-GP provides a scalable compilation pipeline enabling efficient kernel generation, memory optimization, and parallel execution mapping for massively parallel workloads. The compiler targets custom RISC-V GPGPU platforms and enables efficient execution of HPC, scientific computing, and AI workloads. The work demonstrates how an extensible compiler infrastructure can bridge the gap between the RISC-V ISA and SIMT-based GPU execution models, enabling efficient compilation for customizable RISC-V GPGPU architectures."
G7Y79Q,talk,Blind,11-Thu,12h15,2026-06-11-RISC-V-Summit-Europe-12h15-GUELLA-abstract.pdf,2026-06-11-RISC-V-Summit-Europe-12h15-GUELLA-slides.pdf,ARCANE: Enabling High-Performance In-Cache Tensor Extensions in RISC-V,Flavia Guella and Vincenzo Petrolo,,"Modern data-centric workloads increasingly expose the limitations of traditional von Neumann architectures, where excessive data movement limits throughput and energy efficiency.
        While hardware accelerators improve performance, they often lack flexibility and still require costly memory transfers.
        Existing compute in- and near-memory solutions reduce the memory bottleneck but introduce usability challenges related to constraints on data placement.
        ARCANE is a cache architecture that doubles as a tightly-coupled near-memory coprocessor.
        The embedded RISC-V cache controller executes custom instructions offloaded by the host CPU relying on near-memory vector processing units within the cache memory subsystem. This architecture hides memory synchronization and data mapping from application software, while offering software-based Instruction Set Architecture extensibility.
        Evaluations demonstrate up to an 84x speedup on 8-bit convolution layers over a traditional system-on-chip, incurring only a 41.3\% area overhead."
G7YSXG,talk,Blind,10-Wed,16h45,2026-06-10-RISC-V-Summit-Europe-16h45-MERLANDE-abstract.pdf,2026-06-10-RISC-V-Summit-Europe-16h45-MERLANDE-slides.pdf,Ultra Low Power RISC-V core:  Retention with Warm Restart Extension,Anne Merlande,,"Energy saving is a top priority for STMicroelectronics products. For the STxP5 embedded CPU based on the RISC-V architecture, there is a particular focus on minimizing static power when the core is inactive. Additionally, it is important to optimize the CPU restart time, silicon area, implementation complexity, and software overhead. The Ultra Low Power Retention with Warm Restart Mode addresses these challenges by maximizing power savings and reducing drawbacks typically associated with resuming operation. This solution leverages the modular, scalable, customizable, and extensible nature of the RISC-V architecture by defining and implementing a custom RISC-V extension and tailored microarchitecture."
HC7JS8,talk,Blind,10-Wed,12h15,2026-06-10-RISC-V-Summit-Europe-12h15-LINGARDO-abstract.pdf,2026-06-10-RISC-V-Summit-Europe-12h15-LINGARDO-slides.pdf,RIVIERA: A Programmable RISC V Edge Architecture for NFC Signal Processing,Luca Lingardo,,"RIVIERA core, developed within Chips-JU TRISTAN Project, is a valid alternative to State-of-Art DSP architectures used in NFC Readers downlink signal processing. Instead of relying on custom hardware, RIVIERA employs an open source RISC-V core and its ISA extension interface to implement a software defined-radio (SDR) architecture, thus moving processing to the extreme edge of an NFC communication system. The first RIVIERA prototype targets decoding of NFC Type A tags responses and is ready by-design to cover other NFC standards and rates. By replacing hardened logic functions with SW data processing supported by a general-purpose DSP accelerator, RIVIERA reduces pre-silicon engineering effort, enables continuous post silicon improvements, and facilitates portability across SoCs designs and technology nodes. This work demonstrates how application-specific custom RISC V ISA extensions can effectively and efficiently handle RF baseband workloads, paving the way for the adoption of SDR architectures in RF communications for the IoT mass market."
HNQPKX,talk,Non-blind,11-Thu,12h30,2026-06-11-RISC-V-Summit-Europe-12h30-BOELLA-abstract.pdf,2026-06-11-RISC-V-Summit-Europe-12h30-BOELLA-slides.pdf,Evaluating Tenstorrent RISC-V Accelerators for High Performance Scientific Computing,Elisabetta Boella,,"We implemented an N-body astrophysical simulation code and offloaded its most computationally intensive kernel to Tenstorrent RISC-V–based accelerators using the TT-Metalium programming interface. Performance was assessed on the Wormhole n300 card in terms of execution time and energy consumption, and compared with both an optimized CPU implementation and a CUDA version. The TT-Metalium implementation achieves a speedup of 2× over the CPU baseline, although its performance still slightly lags behind the CUDA implementation. Finally, we investigated strategies for scaling the application across multiple Tenstorrent accelerators, evaluating configurations with up to four devices."
JKTENR,talk,Non-blind,10-Wed,12h30,2026-06-10-RISC-V-Summit-Europe-12h30-JEREMIASSEN-abstract.pdf,2026-06-10-RISC-V-Summit-Europe-12h30-JEREMIASSEN-slides.pdf,Accelerating RISC-V Innovation with open MPACT Tools from Google,Tor Jeremiassen and Yenkai Wang,,"The MPACT Tools portfolio provides open-source tools that increase the velocity of HW-SW co-design and development of RISC-V based systems.

MPACT-Sim [1] is an ISS framework in C++ that makes it easier to create ISSs from scratch, and supports rapid changes in response to ISA design changes or user-needed functional enhancements. Using DSLs to describe the instruction set and encoding, it automatically generates instruction decoder source, and provides support for generating assemblers and disassemblers. MPACT-Sim enables rapid HW/SW co-design and early pre-Silicon software development.

MPACT-RiscV [2] (built using MPACT-Sim) is a highly configurable RiscV ISS, with an interactive command interface for assembly level debugging and a customizable assembler which generates both relocatable and executable output files.

To demonstrate the practical impact of the MPACT ecosystem, we present the real-world case study of the CoralNPU machine learning core [3], which is focused on development and execution of ML kernels. The CoralNPU-MPACT ISS [4] development was significantly accelerated by leveraging the fundamental MPACT-Sim and MPACT-RiscV infrastructure, requiring only  limited modifications to support the additions to the CoralNPU's instruction set and memory access rules.

The CoralNPU UVM testbench [5] captures every retired instruction via the standardized RISC-V Verification Interface (RVVI) and steps the MPACT ISS model using a SystemVerilog DPI bridge. The testbench then retrieves golden reference values from the model to verify equivalence against the CoralNPU RTL, detecting functional bugs during development."
KMNP8Q,talk,Non-blind,09-Tue,12h15,2026-06-09-RISC-V-Summit-Europe-12h15-EGGE-abstract.pdf,2026-06-09-RISC-V-Summit-Europe-12h15-EGGE-slides.pdf,The RISE Project: Advancing the RISC-V Software Ecosystem,Nathan Egge and Ludovic Henry,,"The RISC-V Software Ecosystem (RISE) Project is a Linux Foundation Europe initiative where hardware, software and services companies collaborate to bridge the gap between architectural potential and commercial software readiness. While the RISC-V community is highly impactful, industrial-grade software often requires an extra push. RISE provides this through direct engineering, an RFP process that has already deployed over €1M in contracts, and individual support through the RISE Developer Appreciation Program.

This session highlights how RISE is accelerating RISC-V adoption within key upstream open-source projects. We will detail our strategic push to enable AI/ML workloads through targeted investments in PyTorch, Llama.cpp, IREE, oneDNN, and OpenBLAS. We’ll demonstrate how RISE is lowering the barrier to entry by providing free GitHub and GitLab runners for riscv64, alongside self-service remote hardware access via the RISE Board Farm. Finally, we will share our long-term roadmap for ecosystem performance and stability, focusing on LLVM auto-vectorization for RVV at scale and the RISE Build Farm’s role in proactive bug detection across kernel, toolchain and system libraries."
MCBEUE,talk,Non-blind,11-Thu,10h00,2026-06-11-RISC-V-Summit-Europe-10h00-YOSHIMITSU-abstract.pdf,2026-06-11-RISC-V-Summit-Europe-10h00-YOSHIMITSU-slides.pdf,World's first lunar exploration rover using FPGA-based RISC-V processor,Tetsuo YOSHIMITSU,,"A small lunar rover named ""LEV-1"" made surface mobility exploration on the Moon in January 2024. This was the first lunar exploration robot in our country. LEV-1 was installed in the lunar lander ""SLIM"" and was deployed onto the Moon surface just before landing.

LEV-1 explored over the landing area fully autonomously after the deployment. The obained data inclusing images were directly transmitted to the Ground with no relay by the lander.

The onboard computer of the rover used a RISC-V soft-core CPU implemented within the FPGA. The system is one of the world's first onboard computers using a RISC-V processor being operated on the Moon.

This paper describes the configuration of the RISC-V controller installed on LEV-1 rover as well as the technical background for using RISC-V in space applications."
MUFY8Z,talk,Blind,11-Thu,16h30,2026-06-11-RISC-V-Summit-Europe-16h30-PÉTROT-abstract.pdf,2026-06-11-RISC-V-Summit-Europe-16h30-PÉTROT-slides.pdf,A Proof-of-Concept RISC-V with 128-bit Extension,Frédéric Pétrot,,"Addressing ever-larger amounts of memory is a fact of (computerized) life. The authors of the RISC-V unpriviledge specification did recognize that and coined on less than one and a half page what could be a natural extension to 128-bit of the  32- and 64-bit RISC-V ISA. Given this RV128I draft, we (a) defined an ELF128 extension for binaries, (b) made gnu-based a cross-compilation environment able to use RV128I instructions and generate ELF128 binaries, (c) added support for this extension and ELF128 in QEMU, (d) added the necessary instructions and resources in the CVA6 processor."
NHUVSR,talk,Non-blind,11-Thu,17h15,2026-06-11-RISC-V-Summit-Europe-17h15-HAGER-abstract.pdf,2026-06-11-RISC-V-Summit-Europe-17h15-HAGER-slides.pdf,wueHans: A Full-Stack Open-Source RISC-V Gaming Console and SoC Architecture,"Jonathan Hager, Timo Grundheber, Matthias Jung, and Yannik Stamm",,"To address the lack of hardware sovereignty in proprietary console ecosystems, this paper presents a fully open-source RISC-V gaming platform utilizing a VexRiscv core and Lattice ECP5 FPGA. We implemented a custom SoC featuring dedicated 2D GPU and APU accelerators, supported by a complete LLVM-based toolchain and a high-level Game Development Framework API. Validation through a 48-hour game jam demonstrated the platform’s utility, achieving a stable 640 × 480 at 60 FPS output and high power efficiency for independent development."
PC8KYU,talk,Non-blind,09-Tue,17h00,2026-06-09-RISC-V-Summit-Europe-17h00-KURD-abstract.pdf,2026-06-09-RISC-V-Summit-Europe-17h00-KURD-slides.pdf,Why the industry needs CHERI to be able to meet the EU Cyber Resilience Act,Tariq Kurd,,"The Cyber Resilience Act is fully enforced in for all products ""with a digital element"" sold in the EU from December 2027. It has highly stringent requirements on manufacturers, such as products being “secure by design and by default” and “having no known vulnerabilities” at the point of going on sale. Discovered vulnerabilities in the product must be reported within 24 hours for critical exploits. All vulnerabilities must be patched within a short time frame, and support must be for 5 years or longer depending on the product.
As a specific example of the effect of the CRA on consumer products, the Linux kernel had 4336 reported exploits (CVEs) in 2024 (12 per day) and 5779 in 2025 (16 per day). Linux is used in an increasingly large range of consumer devices, not least a large proportion of the world’s smartphones. The able to continue to sell these products in Europe, then the industry really needs to move to a much more securely constructed systems.  CHERI systems have memory safety bult-in which resolves 70% of vulnerabilities seen in weaker non-CHERI legacy systems.
Resolving such a large proportion of vulnerabilities at source will greatly reduce the support and maintenance costs, if nothing else. As a result of the CRA, there will be a large shift in the industry to make systems much more secure.
We expect that much of that shift will be towards CHERI systems as manufacturers wake up to the cost savings."
